Product Name,Price
French Beans,₹ 90
Brinjal - Green (Long),₹ 70
Brinjal - Vari,₹ 120
Striped Brinjal,₹ 40
Field Beans / Averakai,₹ 130
Beans - Haricot,₹ 180
Ladies Finger,₹ 130
Beans - Cluster,₹ 140
Cauliflower,₹ 60
Cabbage,₹ 60
